,service_request_id,requested_datetime,service_name,agency_responsible,council_district,status_description,lat,long
0,5088907,2018-07-01 01:38:00,ALLEY POTHOLE,LPM,5.0,OPEN,38.2507905349,-85.8244213723
1,5088879,2018-07-01 01:40:00,STREET TREE,LPM,5.0,OPEN,38.2507905349,-85.8244213723
2,5088846,2018-07-01 06:28:00,HIGH GRASS WEEDS,IPL,7.0,CLOSED,38.281500826599995,-85.619033716
3,5080683,2018-07-01 07:33:00,TRASH PVT PROP,IPL,15.0,CLOSED,38.1959217853,-85.7758997602
4,5080684,2018-07-01 07:38:00,TRASH PVT PROP,IPL,15.0,CLOSED,38.1968458843,-85.7760096453
5,5080685,2018-07-01 07:51:00,DAMAGE GARB CART,SWMS,9.0,OPEN,38.2496110573,-85.70355085850001
6,5080686,2018-07-01 08:16:00,EXTERIOR VIOL,IPL,2.0,CLOSED,38.1636347975,-85.695049091
7,5080687,2018-07-01 08:29:00,EXTERIOR VIOL,IPL,2.0,CLOSED,38.1653727421,-85.6964194079
8,5088890,2018-07-01 09:35:00,SIGN OBSTRUCTION,LPM,8.0,CLOSED,38.228411075100006,-85.6952164751
9,5088891,2018-07-01 09:40:00,LIGHTING REPAIR,PUBLIC WORKS,10.0,CLOSED,38.2280118575,-85.7370677956
10,5080693,2018-07-01 12:29:00,HIGH GRASS WEEDS,IPL,10.0,CLOSED,38.193448268699996,-85.7136435337
11,5080694,2018-07-01 12:31:00,TRASH PVT PROP,IPL,10.0,CLOSED,38.193448268699996,-85.7136435337
12,5080695,2018-07-01 12:54:00,ZONING CONCERNS,IPL,8.0,CLOSED,38.2299655573,-85.6952125828
13,5080696,2018-07-01 13:35:00,PARK MAINTAIN,METRO PARKS,15.0,CLOSED,38.1598284505,-85.7801025294
14,5080697,2018-07-01 13:56:00,HIGH GRASS WEEDS,IPL,12.0,CLOSED,38.1509117761,-85.8596091938
15,5080699,2018-07-01 15:09:00,ANIMAL CRUELTY,ANIMAL SERVICES,11.0,CLOSED,38.2012663332,-85.5976465656
16,5080700,2018-07-01 15:14:00,EXTERIOR VIOL,IPL,15.0,CLOSED,38.1778701376,-85.7915358042
17,5080701,2018-07-01 15:29:00,TRASH PVT PROP,IPL,10.0,CLOSED,38.191653525599996,-85.7229194952
18,5079657,2018-07-01 15:53:00,TRAFFIC CONCERN,METRO POLICE DEPARTMENT,3.0,CLOSED,38.2224292771,-85.78385178100001
19,5080703,2018-07-01 16:10:00,NEW RECYCLE CART,SWMS,8.0,OPEN,38.2308741531,-85.7060797186
20,5080704,2018-07-01 16:42:00,RECYCLE BINS,SWMS,5.0,CLOSED,38.267634317399995,-85.7856279834
21,5088887,2018-07-01 16:47:00,ZONING CONCERNS,IPL,25.0,CLOSED,38.1158171552,-85.8500655525
22,5088844,2018-07-01 17:12:00,ALLEY POTHOLE,LPM,4.0,CLOSED,38.246441316,-85.73004483390001
23,5088886,2018-07-01 17:13:00,ALLEY POTHOLE,LPM,4.0,CLOSED,38.2462934671,-85.7304423067
24,5088901,2018-07-01 17:16:00,EXTERIOR VIOL,IPL,4.0,CLOSED,38.2456384618,-85.7296837109
25,5080705,2018-07-01 17:18:00,BEDBUGS CODES,IPL,15.0,CLOSED,38.1968458843,-85.7760096453
26,5080706,2018-07-01 18:09:00,STREET HAZARD,LPM,11.0,CLOSED,38.2019404416,-85.6199407375
27,5089014,2018-07-01 18:44:00,JUNK VIOLATION,SWMS,8.0,CLOSED,38.2407239912,-85.7108040356
28,5089015,2018-07-01 18:45:00,ILLEGAL DUMPING,SWMS,8.0,CLOSED,38.2410024738,-85.7102768569
29,5088843,2018-07-01 19:27:00,HIGH GRASS WEEDS,IPL,6.0,CLOSED,38.2360950871,-85.76521468520001
30,5080708,2018-07-01 21:38:00,DAMAGE GARB CART,SWMS,26.0,CLOSED,38.2066459511,-85.63498438180001
31,5080709,2018-07-01 22:08:00,STOLEN GARB CART,SWMS,6.0,OPEN,38.2133588679,-85.770832199
32,5080710,2018-07-01 22:13:00,LIGHTING REPAIR,PUBLIC WORKS,21.0,CLOSED,38.1870537135,-85.7632424643
33,5088883,2018-07-01 23:17:00,HIGH GRASS WEEDS,IPL,25.0,CLOSED,38.1006488188,-85.8470384749
34,5089016,2018-07-01 23:34:00,LIGHTING REPAIR,PUBLIC WORKS,23.0,CLOSED,38.0948495637,-85.64978811520001
35,5088848,2018-07-02 05:30:00,LIGHTING REPAIR,PUBLIC WORKS,15.0,CLOSED,38.1955784783,-85.7700077372
36,5080712,2018-07-02 05:37:00,STREET POTHOLE,LPM,22.0,CLOSED,38.1903733924,-85.61615643520001
37,5080713,2018-07-02 05:45:00,TRAF SIGNAL REPR,PUBLIC WORKS,26.0,CLOSED,38.2479036773,-85.6233803927
38,5080716,2018-07-02 06:39:00,JUNK VIOLATION,SWMS,5.0,CLOSED,38.2556263163,-85.7960981221
39,5080717,2018-07-02 06:41:00,GARBAGE VIOLATIO,SWMS,26.0,CLOSED,38.2203933752,-85.6474862982
