service_request_id,requested_datetime,updated_datetime,source,service_name,description,agency_responsible,address,council_district,status_description,lat,long
5088907,2018-07-01 01:38:00,,UNKNOWN,ALLEY POTHOLE,"ALLEY POTHOLE, POTHL",LPM,"4305 W BROADWAY , LOUISVILLE, KY, 40211",5,OPEN,38.2507905349,-85.8244213723
5088879,2018-07-01 01:40:00,,UNKNOWN,STREET TREE,"STREET EASEMENT TREES, OBSTRUCTION, ROWOB",LPM,"4305 W BROADWAY , LOUISVILLE, KY, 40211",5,OPEN,38.2507905349,-85.8244213723
5088846,2018-07-01 06:28:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"7310 MARIA AVE , LOUISVILLE, KY, 40222",7,CLOSED,38.2815008266,-85.619033716
5080683,2018-07-01 07:33:00,,UNKNOWN,TRASH PVT PROP,"TRASH PRIVATE PROPERTY, TRASH, GARBAGE, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"921 DENMARK ST , LOUISVILLE, KY, 40215",15,CLOSED,38.1959217853,-85.7758997602
5080684,2018-07-01 07:38:00,,UNKNOWN,TRASH PVT PROP,"TRASH PRIVATE PROPERTY, TRASH, GARBAGE, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"921 W EVELYN AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.1968458843,-85.7760096453
5080685,2018-07-01 07:51:00,,UNKNOWN,DAMAGE GARB CART,"DAMAGED GARBAGE CART, CARTD, SWMS",SWMS - ADMINISTRATION,"263 SAUNDERS AVE , LOUISVILLE, KY, 40206",9,OPEN,38.2496110573,-85.7035508585
5080686,2018-07-01 08:16:00,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"3601 TEMPLEWOOD DR , LOUISVILLE, KY, 40219",2,CLOSED,38.1636347975,-85.695049091
5080687,2018-07-01 08:29:00,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"3601 FRIAR TUCK CT , LOUISVILLE, KY, 40219",2,CLOSED,38.1653727421,-85.6964194079
5088890,2018-07-01 09:35:00,,UNKNOWN,SIGN OBSTRUCTION,"SIGN OBSTRUCTION, TREES, BRANCHES, ETC. ROWOB",LPM,"2101 LAUDERDALE RD , LOUISVILLE, KY, 40205",8,CLOSED,38.2284110751,-85.6952164751
5088891,2018-07-01 09:40:00,,UNKNOWN,LIGHTING REPAIR,"LIGHTING REPAIR, STREET LIGHT, STLGT",PUBLIC WORKS ADMINISTRATION,"988 GOSS AVE , LOUISVILLE, KY, 40217",10,CLOSED,38.2280118575,-85.7370677956
5080693,2018-07-01 12:29:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"4302 SHERMAN AVE , LOUISVILLE, KY, 40213",10,CLOSED,38.1934482687,-85.7136435337
5080694,2018-07-01 12:31:00,,UNKNOWN,TRASH PVT PROP,"TRASH PRIVATE PROPERTY, TRASH, GARBAGE, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"4302 SHERMAN AVE , LOUISVILLE, KY, 40213",10,CLOSED,38.1934482687,-85.7136435337
5080695,2018-07-01 12:54:00,,UNKNOWN,ZONING CONCERNS,"ZONING, ILLEGAL BUSINESS OR SIGNS ON PRIVATE PROPERTY, ILSGN, ZONE",IPL-PROPERTY MAINTENANCE DIV.,"2122 EDGEHILL RD , LOUISVILLE, KY, 40205",8,CLOSED,38.2299655573,-85.6952125828
5080696,2018-07-01 13:35:00,,UNKNOWN,PARK MAINTAIN,"PARK MAINTENANCE ALL, PKMTN, PKREP, PKREC",METRO PARKS,"1080 AMPHITHEATER RD , LOUISVILLE, KY, 40214",15,CLOSED,38.1598284505,-85.7801025294
5080697,2018-07-01 13:56:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"7203 URANUS DR , LOUISVILLE, KY, 40258",12,CLOSED,38.1509117761,-85.8596091938
5080699,2018-07-01 15:09:00,,UNKNOWN,ANIMAL CRUELTY,"ANIMAL CRUELTY, MISTREATED, NEGLECTED, ANIMC",ANIMAL SERVICES,"3107 BINNACLE PL , JEFFERSONTOWN, KY, 40220",11,CLOSED,38.2012663332,-85.5976465656
5080700,2018-07-01 15:14:00,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"4401 LA SALLE AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.1778701376,-85.7915358042
5080701,2018-07-01 15:29:00,,UNKNOWN,TRASH PVT PROP,"TRASH PRIVATE PROPERTY, TRASH, GARBAGE, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"1257 LUCAS AVE , LOUISVILLE, KY, 40213",10,CLOSED,38.1916535256,-85.7229194952
5079657,2018-07-01 15:53:00,,UNKNOWN,TRAFFIC CONCERN,"TRAFFIC CONCERN, SPEED, ILLEGAL PARKING OUTSIDE PARC AREAS, ILLPK, TRAFC",METRO POLICE DEPARTMENT," ALGONQUIN PKY , LOUISVILLE, KY, 40210",3,CLOSED,38.2224292771,-85.783851781
5080703,2018-07-01 16:10:00,,UNKNOWN,NEW RECYCLE CART,"NEW RECYCLE CART, RECYN, SWMS",SWMS - ADMINISTRATION,"1939 MAPLEWOOD PL , LOUISVILLE, KY, 40205",8,OPEN,38.2308741531,-85.7060797186
5080704,2018-07-01 16:42:00,,UNKNOWN,RECYCLE BINS,"RECYCLE BINS, RECYCLING, NEW RECYB, DAMAGED, MISSING, SWMS",SWMS - ADMINISTRATION,"2213 BANK ST , LOUISVILLE, KY, 40212",5,CLOSED,38.2676343174,-85.7856279834
5088887,2018-07-01 16:47:00,,UNKNOWN,ZONING CONCERNS,"ZONING, ILLEGAL BUSINESS OR SIGNS ON PRIVATE PROPERTY, ILSGN, ZONE",IPL-PROPERTY MAINTENANCE DIV.,"4708 ANDALUSIA LN , LOUISVILLE, KY, 40272",25,CLOSED,38.1158171552,-85.8500655525
5088844,2018-07-01 17:12:00,,UNKNOWN,ALLEY POTHOLE,"ALLEY POTHOLE, POTHL",LPM,"1012 HULL ST , LOUISVILLE, KY, 40204",4,CLOSED,38.246441316,-85.7300448339
5088886,2018-07-01 17:13:00,,UNKNOWN,ALLEY POTHOLE,"ALLEY POTHOLE, POTHL",LPM,"1002 HULL ST , LOUISVILLE, KY, 40204",4,CLOSED,38.2462934671,-85.7304423067
5088901,2018-07-01 17:16:00,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"1016 PAYNE ST , LOUISVILLE, KY, 40204",4,CLOSED,38.2456384618,-85.7296837109
5080705,2018-07-01 17:18:00,,UNKNOWN,BEDBUGS CODES,"BEDBUGS, BEDBG, LPM RESIDENTIAL",IPL-PROPERTY MAINTENANCE DIV.,"921 W EVELYN AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.1968458843,-85.7760096453
5080706,2018-07-01 18:09:00,,UNKNOWN,STREET HAZARD,"STREET OBSTRUCTION, POSSIBLE DANGER TO MOTORISTS, DOWNED TREES, ROWOB",LPM," MANNER DALE DR , LOUISVILLE, KY, 40220",11,CLOSED,38.2019404416,-85.6199407375
5089014,2018-07-01 18:44:00,,UNKNOWN,JUNK VIOLATION,"JUNK VIOLATION, JUNKV, SWMS",SWMS - ENFORCEMENT UNIT,"2432 GLENMARY AVE A1, LOUISVILLE, KY, 40204",8,CLOSED,38.2407239912,-85.7108040356
5089015,2018-07-01 18:45:00,,UNKNOWN,ILLEGAL DUMPING,"ILLEGAL DUMPING, NOT ON PRIVATE PROPERTY, DUMPV, SWMS",SWMS - ENFORCEMENT UNIT,"2454 GLENMARY AVE 1, LOUISVILLE, KY, 40204",8,CLOSED,38.2410024738,-85.7102768569
5088843,2018-07-01 19:27:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"1144 S 7TH ST , LOUISVILLE, KY, 40203",6,CLOSED,38.2360950871,-85.7652146852
5080708,2018-07-01 21:38:00,,UNKNOWN,DAMAGE GARB CART,"DAMAGED GARBAGE CART, CARTD, SWMS",SWMS - ADMINISTRATION,"3001 DALE ANN DR , LOUISVILLE, KY, 40220",26,CLOSED,38.2066459511,-85.6349843818
5080709,2018-07-01 22:08:00,,UNKNOWN,STOLEN GARB CART,"STOLEN GARBAGE CART, CARTS, MISSING, SWMS",SWMS - ADMINISTRATION,"720 CREEL AVE , LOUISVILLE, KY, 40208",6,OPEN,38.2133588679,-85.770832199
5080710,2018-07-01 22:13:00,,UNKNOWN,LIGHTING REPAIR,"LIGHTING REPAIR, STREET LIGHT, STLGT",PUBLIC WORKS ADMINISTRATION,"4530 MERIDALE AVE , LOUISVILLE, KY, 40214",21,CLOSED,38.1870537135,-85.7632424643
5088883,2018-07-01 23:17:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"10604 HUME CT , LOUISVILLE, KY, 40272",25,CLOSED,38.1006488188,-85.8470384749
5089016,2018-07-01 23:34:00,,UNKNOWN,LIGHTING REPAIR,"LIGHTING REPAIR, STREET LIGHT, STLGT",PUBLIC WORKS ADMINISTRATION,"6716 CASSIDY CIR , LOUISVILLE, KY, 40229",23,CLOSED,38.0948495637,-85.6497881152
5088848,2018-07-02 05:30:00,,UNKNOWN,LIGHTING REPAIR,"LIGHTING REPAIR, STREET LIGHT, STLGT",PUBLIC WORKS ADMINISTRATION,"528 DENMARK ST , LOUISVILLE, KY, 40215",15,CLOSED,38.1955784783,-85.7700077372
5080712,2018-07-02 05:37:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM," STONEMEADOW CT , LOUISVILLE, KY, 40218",22,CLOSED,38.1903733924,-85.6161564352
5080713,2018-07-02 05:45:00,,UNKNOWN,TRAF SIGNAL REPR,"TRAFFIC SIGNAL REPAIR, TRSGR",PUBLIC WORKS - ELEC MAINT,"5000 SHELBYVILLE RD , ST MATTHEWS, KY, 40207",26,CLOSED,38.2479036773,-85.6233803927
5080716,2018-07-02 06:39:00,,UNKNOWN,JUNK VIOLATION,"JUNK VIOLATION, JUNKV, SWMS",SWMS - ENFORCEMENT UNIT,"2711 W MUHAMMAD ALI BLVD , LOUISVILLE, KY, 40212",5,CLOSED,38.2556263163,-85.7960981221
5080717,2018-07-02 06:41:00,,UNKNOWN,GARBAGE VIOLATIO,"GARBAGE VIOLATION, GARBV, SWMS",SWMS - ENFORCEMENT UNIT,"3609 KINGS HWY , LOUISVILLE, KY, 40220",26,CLOSED,38.2203933752,-85.6474862982
5080718,2018-07-02 06:44:00,,UNKNOWN,JUNK VIOLATION,"JUNK VIOLATION, JUNKV, SWMS",SWMS - ENFORCEMENT UNIT,"2914 ABIGAIL DR 1, LOUISVILLE, KY, 40205",26,CLOSED,38.2237910783,-85.6506535421
5080719,2018-07-02 06:56:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM," SYLVAN WAY , LOUISVILLE, KY, 40205",10,CLOSED,38.2080717265,-85.6972140427
5080720,2018-07-02 06:58:00,,UNKNOWN,NEW GARBAGE CART,"NEW GARBAGE CART, CARTN, SWMS",SWMS - ADMINISTRATION,"3232 CAWEIN WAY , LOUISVILLE, KY, 40220",26,CLOSED,38.2156046732,-85.6418942776
5080721,2018-07-02 07:02:00,,UNKNOWN,NEW RECYCLE CART,"NEW RECYCLE CART, RECYN, SWMS",SWMS - ADMINISTRATION,"1763 SULGRAVE RD , LOUISVILLE, KY, 40205",8,CLOSED,38.2340915645,-85.6902424666
5080723,2018-07-02 07:03:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"1500 SYLVAN WYNDE , LOUISVILLE, KY, 40205",10,CLOSED,38.2083553282,-85.6969199201
5080725,2018-07-02 07:03:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"1504 SYLVAN WYNDE , LOUISVILLE, KY, 40205",10,CLOSED,38.2087570316,-85.6966390234
